Species,Sex,Animal_ID,Mass,SVL,Trial,Microsite,OTM_type,MeanT,SD,Length(min)
Sceloporus_occidentalis,F,7,26.6,84.23,14,rock_shade,CopperPipe,19.08561538,0.059274135,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,Lizard,19.46161538,0.079743901,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,ABS,17.55761538,0.109585232,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,PLA,17.51992308,0.130628265,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,CopperPLA,17.52992308,0.097081977,2
Sceloporus_occidentalis,F,10,19.7,82,15,rock_shade,CopperPipe,19.72269231,0.042585961,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,Lizard,33.64346154,0.093247534,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,ABS,35.12269231,0.193054131,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,PLA,33.84076923,0.154603878,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,CopperPLA,31.36992308,0.350322342,2
Sceloporus_occidentalis,M,11,21.7,85.95,16,rock_sun,CopperPipe,35.89607692,0.034615655,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,Lizard,16.831,0.024579802,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,ABS,16.48753846,0.124102522,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,PLA,16.77638462,0.182542935,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,CopperPLA,18.937,0.123728197,2
Sceloporus_occidentalis,F,13,25.2,87.22,18,rock_shade,CopperPipe,19.57953846,0.05275038,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,Lizard,24.52146154,0.020365884,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,ABS,23.02653846,0.040200778,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,PLA,23.29315385,0.051244262,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,CopperPLA,22.93215385,0.054784192,2
Sceloporus_occidentalis,F,12,19.1,84.09,20,rock_shade,CopperPipe,22.90776923,0.053238698,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,Lizard,22.10423077,0.012370353,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,ABS,21.696,0.020996031,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,PLA,21.53115385,0.02062703,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,CopperPLA,21.452,0.049978329,2
Sceloporus_occidentalis,M,11,21.7,85.95,19,rock_shade,CopperPipe,21.92769231,0.012425676,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,Lizard,35.21515385,0.080983379,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,ABS,32.62753846,0.653206401,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,PLA,33.24461538,0.800028597,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,CopperPLA,31.63846154,0.697842821,2
Sceloporus_occidentalis,F,13,25.2,87.22,22,rock_sun,CopperPipe,33.04469231,0.076876941,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,Lizard,35.01930769,0.010827316,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,ABS,30.79876923,0.191963171,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,PLA,30.07130769,0.163619673,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,CopperPLA,29.34776923,0.290297019,2
Sceloporus_occidentalis,F,12,19.1,84.09,17,rock_sun,CopperPipe,37.51876923,0.069191948,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,Lizard,36.11838462,0.104905146,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,ABS,36.07315385,0.388367276,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,PLA,34.60023077,0.341391553,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,CopperPLA,31.36246154,0.613403159,2
Sceloporus_occidentalis,M,14,15.5,76.14,24,rock_sun,CopperPipe,31.58076923,0.120207566,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,Lizard,37.77638462,0.151594601,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,ABS,39.14038462,0.345315686,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,PLA,35.57661538,0.522093628,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,CopperPLA,34.32438462,0.316936255,2
Sceloporus_occidentalis,F,15,19.1,75.36,25,rock_sun,CopperPipe,33.41230769,0.031820812,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,Lizard,9.609769231,0.06354415,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,ABS,8.741538462,0.047703276,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,PLA,9.907923077,0.052488827,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,CopperPLA,8.527153846,0.081110877,2
Sceloporus_occidentalis,M,16,18,79.8,26,rock_shade,CopperPipe,7.289153846,0.051757199,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,Lizard,38.84130769,0.185280591,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,ABS,37.40369231,0.337786517,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,PLA,39.06069231,0.333440246,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,CopperPLA,37.82823077,1.161173627,2
Sceloporus_occidentalis,M,16,18,79.8,27,rock_sun,CopperPipe,36.832,0.176714459,2
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,Lizard,21.06923077,0.118213193,2
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,CopperPLA,20.99230769,0.08623165,2
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,PLA,20.36923077,0.063042517,2
Podarcis_muralis,M,PM126,6.76,NA,1,shade tree,ABS,20.33846154,0.076794765,2
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,Lizard,23.43076923,0.063042517,2
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,CopperPLA,23.06923077,0.048038446,2
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,PLA,22.02307692,0.059914469,2
Podarcis_muralis,M,PM118,6.92,NA,2,shade tree,ABS,22.30769231,0.103774904,2
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,Lizard,27.03076923,0.103155347,2
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,CopperPLA,27.76153846,0.132529629,2
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,PLA,26.21538462,0.098709623,2
Podarcis_muralis,M,PM134,9.14,NA,3,sun overcast,ABS,27.65384615,0.14500221,2
Podarcis_muralis,M,PM93,8.57,NA,4,sun,Lizard,29.64615385,0.096741792,2
Podarcis_muralis,M,PM93,8.57,NA,4,sun,CopperPLA,32.71538462,0.195133091,2
Podarcis_muralis,M,PM93,8.57,NA,4,sun,PLA,28.54615385,0.189804218,2
Podarcis_muralis,M,PM93,8.57,NA,4,sun,ABS,27.50769231,0.189127552,2
Podarcis_muralis,M,PM94,6.3,NA,5,sun,Lizard,35.88461538,0.080064077,2
Podarcis_muralis,M,PM94,6.3,NA,5,sun,CopperPLA,33.69230769,0.175411604,2
Podarcis_muralis,M,PM94,6.3,NA,5,sun,PLA,31.6,0.285773803,2
Podarcis_muralis,M,PM94,6.3,NA,5,sun,ABS,33.46923077,0.295478751,2
Podarcis_muralis,M,PM175,4.85,NA,6,sun,Lizard,37.67692308,0.204751256,2
Podarcis_muralis,M,PM175,4.85,NA,6,sun,CopperPLA,39.06153846,0.119292788,2
Podarcis_muralis,M,PM175,4.85,NA,6,sun,PLA,35.89230769,0.193483584,2
Podarcis_muralis,M,PM175,4.85,NA,6,sun,ABS,37.82307692,0.196442723,2
Podarcis_muralis,M,PM138,6.05,NA,7,shade tree,Lizard,25.4,0,2
Podarcis_muralis,M,PM138,6.05,NA,7,shade tree,CopperPLA,24.33076923,0.103155347,2
Podarcis_muralis,M,PM138,6.05,NA,7,shade tree,PLA,24.28461538,0.037553381,2
Podarcis_muralis,M,PM138,6.05,NA,7,shade tree,ABS,25.4,0.13540064,2
Podarcis_muralis,M,PM81,7.74,NA,8,shade tree,Lizard,24.9,0,2
Podarcis_muralis,M,PM81,7.74,NA,8,shade tree,CopperPLA,24.60769231,0.049354812,2
Podarcis_muralis,M,PM81,7.74,NA,8,shade tree,PLA,23.71538462,0.05547002,2
Podarcis_muralis,M,PM81,7.74,NA,8,shade tree,ABS,24.3,0.057735027,2
Podarcis_muralis,M,PM172,8.27,NA,9,shade tree,Lizard,24.56923077,0.048038446,2
Podarcis_muralis,M,PM172,8.27,NA,9,shade tree,CopperPLA,24.03076923,0.085485041,2
Podarcis_muralis,M,PM172,8.27,NA,9,shade tree,PLA,23.77692308,0.043852901,2
Podarcis_muralis,M,PM172,8.27,NA,9,shade tree,ABS,24.47692308,0.059914469,2
Podarcis_muralis,M,PM154,9.05,NA,10,shade under covered pathway,Lizard,24.84615385,0.051887452,2
Podarcis_muralis,M,PM154,9.05,NA,10,shade under covered pathway,CopperPLA,24.79230769,0.02773501,2
Podarcis_muralis,M,PM154,9.05,NA,10,shade under covered pathway,PLA,24.81538462,0.037553381,2
Podarcis_muralis,M,PM154,9.05,NA,10,shade under covered pathway,ABS,24.93846154,0.050636968,2
Podarcis_muralis,M,PM73,7.07,NA,11,sun,Lizard,35.92307692,0.059914469,2
Podarcis_muralis,M,PM73,7.07,NA,11,sun,CopperPLA,34.44615385,0.411532471,2
Podarcis_muralis,M,PM73,7.07,NA,11,sun,PLA,34.57692308,0.169085019,2
Podarcis_muralis,M,PM73,7.07,NA,11,sun,ABS,33.70769231,0.08623165,2
Podarcis_muralis,M,PM174,8.03,NA,12,sun,Lizard,34.57692308,0.059914469,2
Podarcis_muralis,M,PM174,8.03,NA,12,sun,CopperPLA,35.07692308,0.274329018,2
Podarcis_muralis,M,PM174,8.03,NA,12,sun,PLA,34.49230769,0.095407359,2
Podarcis_muralis,M,PM174,8.03,NA,12,sun,ABS,34.77692308,0.158922655,2
Anolis_pulchellus,M,GUAN_078,NA,NA,14,grass_bush_shade,Lizard,35.64915385,0.036857487,2
Anolis_pulchellus,M,GUAN_078,NA,NA,14,grass_bush_shade,CopperPLA,34.47546154,0.080426587,2
Anolis_pulchellus,M,GUAN_078,NA,NA,14,grass_bush_shade,ABS,34.42561538,0.070348583,2
Anolis_pulchellus,M,GUAN_078,NA,NA,14,grass_bush_shade,PLA,35.30823077,0.064535719,2
Anolis_pulchellus,M,GUAN_077,NA,NA,15,grass_bush_shade,Lizard,33.77030769,0.030836625,2
Anolis_pulchellus,M,GUAN_077,NA,NA,15,grass_bush_shade,CopperPLA,34.03638462,0.115953682,2
Anolis_pulchellus,M,GUAN_077,NA,NA,15,grass_bush_shade,ABS,33.88446154,0.136461604,2
Anolis_pulchellus,M,GUAN_077,NA,NA,15,grass_bush_shade,PLA,33.819,0.139109669,2
Anolis_pulchellus,M,GUAN_076,NA,NA,17,grass_bush_shade,Lizard,31.15823077,0.096305204,2
Anolis_pulchellus,M,GUAN_076,NA,NA,17,grass_bush_shade,CopperPLA,30.85553846,0.191703163,2
Anolis_pulchellus,M,GUAN_076,NA,NA,17,grass_bush_shade,ABS,31.14515385,0.197126375,2
Anolis_pulchellus,M,GUAN_076,NA,NA,17,grass_bush_shade,PLA,30.59738462,0.207622871,2
Anolis_pulchellus,M,GUAN_081,2.87,NA,18,grass_bush_shade,Lizard,33.43230769,0.066427134,2
Anolis_pulchellus,M,GUAN_081,2.87,NA,18,grass_bush_shade,CopperPLA,33.50223077,0.153112243,2
Anolis_pulchellus,M,GUAN_081,2.87,NA,18,grass_bush_shade,ABS,33.98861538,0.192684776,2
Anolis_pulchellus,M,GUAN_081,2.87,NA,18,grass_bush_shade,PLA,33.65061538,0.149813517,2
Anolis_pulchellus,M,GUAN_083,3.45,NA,19,grass_shade,Lizard,31.19861538,0.102040465,2
Anolis_pulchellus,M,GUAN_083,3.45,NA,19,grass_shade,CopperPLA,34.23484615,0.276740807,2
Anolis_pulchellus,M,GUAN_083,3.45,NA,19,grass_shade,ABS,34.37961538,0.244061652,2
Anolis_pulchellus,M,GUAN_083,3.45,NA,19,grass_shade,PLA,33.93638462,0.187647959,2
Anolis_pulchellus,F,GUAN_088,NA,NA,22,grass_shade,Lizard,32.62430769,0.060944489,2
Anolis_pulchellus,F,GUAN_088,NA,NA,22,grass_shade,CopperPLA,33.08176923,0.071897095,2
Anolis_pulchellus,F,GUAN_088,NA,NA,22,grass_shade,ABS,32.42676923,0.06938318,2
Anolis_pulchellus,F,GUAN_088,NA,NA,22,grass_shade,PLA,32.49869231,0.045578476,2
Anolis_pulchellus,M,GUAN_089,1.68,NA,23,grass_shade,Lizard,34.425,0.013006409,2
Anolis_pulchellus,M,GUAN_089,1.68,NA,23,grass_shade,CopperPLA,34.28569231,0.074361039,2
Anolis_pulchellus,M,GUAN_089,1.68,NA,23,grass_shade,ABS,33.69284615,0.082544782,2
Anolis_pulchellus,M,GUAN_089,1.68,NA,23,grass_shade,PLA,34.01569231,0.091002184,2
Anolis_pulchellus,M,GUAN_083,3.12,NA,24,grass_shade,Lizard,33.56476923,0.303791637,2
Anolis_pulchellus,M,GUAN_083,3.12,NA,24,grass_shade,CopperPLA,35.23907692,0.213784729,2
Anolis_pulchellus,M,GUAN_083,3.12,NA,24,grass_shade,ABS,34.33769231,0.311071102,2
Anolis_pulchellus,M,GUAN_083,3.12,NA,24,grass_shade,PLA,34.86315385,0.228251267,2
Anolis_pulchellus,M,GUAN_081,3.71,NA,26,grass_shade,Lizard,35.55823077,0.121935881,2
Anolis_pulchellus,M,GUAN_081,3.71,NA,26,grass_shade,CopperPLA,36.69376923,0.073186012,2
Anolis_pulchellus,M,GUAN_081,3.71,NA,26,grass_shade,ABS,34.81669231,0.111330877,2
Anolis_pulchellus,M,GUAN_081,3.71,NA,26,grass_shade,PLA,35.719,0.055060573,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,1,sun_tree_trunk,PLA,27.153,0.051676881,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,1,sun_tree_trunk,ABS,27.49561538,0.06414247,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,1,sun_tree_trunk,CopperPLA,27.37907692,0.088783878,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,1,sun_tree_trunk,Lizard,30.48292308,0.061112549,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,2,shade_tree_trunk,PLA,25.181,0.151170434,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,2,shade_tree_trunk,ABS,25.30907692,0.155769307,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,2,shade_tree_trunk,CopperPLA,25.32584615,0.204689133,2
Anolis_gundlachi,M,ELVE_011,6.78,NA,2,shade_tree_trunk,Lizard,27.79330769,0.03486016,2
Anolis_gundlachi,M,ELVE_070,NA,NA,3,shade_tree_trunk,PLA,22.50946154,0.058645283,2
Anolis_gundlachi,M,ELVE_070,NA,NA,3,shade_tree_trunk,Lizard,24.83253846,0.136161433,2
Anolis_gundlachi,M,ELVE_070,NA,NA,3,shade_tree_trunk,CopperPLA,22.08769231,0.070184738,2
Anolis_gundlachi,M,ELVE_070,NA,NA,3,shade_tree_trunk,ABS,22.77561538,0.04223454,2
Anolis_gundlachi,M,TORN_073,TBD,NA,27,trunk,Lizard,23.04907692,0.061763611,2
Anolis_gundlachi,M,TORN_073,TBD,NA,27,trunk,CopperPLA,23.77515385,0.079132638,2
Anolis_gundlachi,M,TORN_073,TBD,NA,27,trunk,ABS,23.48392308,0.048830423,2
Anolis_gundlachi,M,TORN_073,TBD,NA,27,trunk,PLA,23.55930769,0.048153201,2
Anolis_gundlachi,M,TORN_074,TBD,NA,28,trunk,Lizard,22.96853846,0.016122528,2
Anolis_gundlachi,M,TORN_074,TBD,NA,28,trunk,CopperPLA,23.28015385,0.021003357,2
Anolis_gundlachi,M,TORN_074,TBD,NA,28,trunk,ABS,23.09569231,0.039731148,2
Anolis_gundlachi,M,TORN_074,TBD,NA,28,trunk,PLA,23.13815385,0.102546612,2
Anolis_gundlachi,M,TORN_061,TBD,NA,29,wood_log_shade,Lizard,27.92853846,0.037030653,2
Anolis_gundlachi,M,TORN_061,TBD,NA,29,wood_log_shade,CopperPLA,26.21238462,0.050112438,2
Anolis_gundlachi,M,TORN_061,TBD,NA,29,wood_log_shade,ABS,25.95392308,0.055893443,2
Anolis_gundlachi,M,TORN_061,TBD,NA,29,wood_log_shade,PLA,26.54330769,0.052208532,2
Anolis_gundlachi,M,CRTE_041,TBD,NA,30,trunk,Lizard,27.22561538,0.019960538,2
Anolis_gundlachi,M,CRTE_041,TBD,NA,30,trunk,CopperPLA,26.96415385,0.019441563,2
Anolis_gundlachi,M,CRTE_041,TBD,NA,30,trunk,ABS,26.22892308,0.016235052,2
Anolis_gundlachi,M,CRTE_041,TBD,NA,30,trunk,PLA,26.43461538,0.032115776,2
Anolis_gundlachi,M,CRTE_008,TBD,NA,31,trunk,Lizard,26.26584615,0.005047213,2
Anolis_gundlachi,M,CRTE_008,TBD,NA,31,trunk,CopperPLA,25.94869231,0.031920173,2
Anolis_gundlachi,M,CRTE_008,TBD,NA,31,trunk,ABS,26.49192308,0.107995726,2
Anolis_gundlachi,M,CRTE_008,TBD,NA,31,trunk,PLA,26.06869231,0.043099468,2
Anolis_gundlachi,M,CRTE_011,TBD,NA,32,trunk,Lizard,25.51846154,0.007912178,2
Anolis_gundlachi,M,CRTE_011,TBD,NA,32,trunk,CopperPLA,25.58307692,0.017745711,2
Anolis_gundlachi,M,CRTE_011,TBD,NA,32,trunk,ABS,25.62207692,0.123942501,2
Anolis_gundlachi,M,CRTE_011,TBD,NA,32,trunk,PLA,25.05692308,0.01586643,2
Anolis_gundlachi,M,CRTE_MNM,NA,NA,33,log,Lizard,24.03861538,0.04877933,2
Anolis_gundlachi,M,CRTE_MNM,NA,NA,33,log,CopperPLA,24.43215385,0.033019808,2
Anolis_gundlachi,M,CRTE_MNM,NA,NA,33,log,ABS,24.27684615,0.01653202,2
Anolis_gundlachi,M,CRTE_MNM,NA,NA,33,log,PLA,23.67584615,0.028462976,2
Anolis_gundlachi,M,FLOR_01,5.94,NA,34,log_ground,Lizard,25.94369231,0.016428556,2
Anolis_gundlachi,M,FLOR_01,5.94,NA,34,log_ground,CopperPLA,27.873,0.017682383,2
Anolis_gundlachi,M,FLOR_01,5.94,NA,34,log_ground,ABS,27.95661538,0.039559109,2
Anolis_gundlachi,M,FLOR_01,5.94,NA,34,log_ground,PLA,27.94661538,0.065202938,2
Anolis_gundlachi,M,FLOR_02,4.6,NA,35,log_ground,Lizard,25.94369231,0.016428556,2
Anolis_gundlachi,M,FLOR_02,4.6,NA,35,log_ground,CopperPLA,27.38930769,0.044945123,2
Anolis_gundlachi,M,FLOR_02,4.6,NA,35,log_ground,ABS,27.52553846,0.096393824,2
Anolis_gundlachi,M,FLOR_02,4.6,NA,35,log_ground,PLA,27.60276923,0.051836528,2
Anolis_gundlachi,M,FLOR_03,5.71,NA,36,log_ground,Lizard,25.68715385,0.015831646,2
Anolis_gundlachi,M,FLOR_03,5.71,NA,36,log_ground,CopperPLA,26.07384615,0.051724988,2
Anolis_gundlachi,M,FLOR_03,5.71,NA,36,log_ground,ABS,26.34907692,0.037630798,2
Anolis_gundlachi,M,FLOR_03,5.71,NA,36,log_ground,PLA,26.40976923,0.107823277,2
Anolis_gundlachi,M,FLOR_04,5,NA,37,log_ground,Lizard,25.19392308,0.005438467,2
Anolis_gundlachi,M,FLOR_04,5,NA,37,log_ground,CopperPLA,25.53715385,0.021751805,2
Anolis_gundlachi,M,FLOR_04,5,NA,37,log_ground,ABS,25.48992308,0.012499744,2
Anolis_gundlachi,M,FLOR_04,5,NA,37,log_ground,PLA,25.466,0.02590045,2
Anolis_gundlachi,M,FLOR_05,4.44,NA,38,log_ground,Lizard,24.64623077,0.005134099,2
Anolis_gundlachi,M,FLOR_05,4.44,NA,38,log_ground,CopperPLA,24.91346154,0.032968711,2
Anolis_gundlachi,M,FLOR_05,4.44,NA,38,log_ground,ABS,24.72130769,0.045750018,2
Anolis_gundlachi,M,FLOR_05,4.44,NA,38,log_ground,PLA,24.93284615,0.02226674,2
Anolis_gundlachi,M,PNTR_MNM_02,NA,6.5,40,trunk,Lizard,27.594,0.009273618,2
Anolis_gundlachi,M,PNTR_MNM_02,NA,6.5,40,trunk,CopperPLA,27.57453846,0.105531682,2
Anolis_gundlachi,M,PNTR_MNM_02,NA,6.5,40,trunk,ABS,27.52869231,0.095766543,2
Anolis_gundlachi,M,PNTR_MNM_02,NA,6.5,40,trunk,PLA,27.72030769,0.079034154,2
Anolis_gundlachi,M,PNTR_MNM_03,NA,6.15,41,trunk,Lizard,27.98661538,0.018168372,2
Anolis_gundlachi,M,PNTR_MNM_03,NA,6.15,41,trunk,CopperPLA,28.15753846,0.025207854,2
Anolis_gundlachi,M,PNTR_MNM_03,NA,6.15,41,trunk,ABS,27.98076923,0.029003315,2
Anolis_gundlachi,M,PNTR_MNM_03,NA,6.15,41,trunk,PLA,27.93630769,0.05548481,2
Anolis_sagrei,M,ANSA5,4.23,56,5,ground_shade,PLA,28.9,3.70E-15,2
Anolis_sagrei,M,ANSA5,4.23,56,5,ground_shade,ABS,29.14615385,0.051887452,2
Anolis_sagrei,M,ANSA5,4.23,56,5,ground_shade,CopperPLA,29.3,0.040824829,2
Anolis_sagrei,M,ANSA5,4.23,56,5,ground_shade,Lizard,29.2,7.40E-15,2
Anolis_sagrei,M,ANSA6,3.65,53,6,ground_shade,PLA,28.93846154,0.050636968,2
